Country,year,Coal,Oil,Natural gas,Biofuels,Hydro,Solar PV,Wind,Other sources,Units
,1990,3708,379,4499,274,27497,,,,GWh
,1991,3803,406,4786,269,27726,,,,GWh
,1992,4669,713,4941,340,22281,,,,GWh
,1993,4350,518,5445,389,27857,,,,GWh
,1994,3541,418,4947,444,32059,,,,GWh
,1995,4273,254,5552,477,32160,,,,GWh
,1996,1873,261,5241,496,35491,,,,GWh
,1997,3063,280,9305,483,31474,,,,GWh
,1998,2679,180,10724,532,30782,,,,GWh
,1999,1955,118,6551,457,33741,,,,GWh
,2000,2201,101,8253,496,32074,6,,,GWh
,2001,2362,101,8685,496,31798,6,,,GWh
,2002,2308,94,8181,491,33968,6,,,GWh
,2003,2928,118,6826,495,36174,6,,,GWh
,2004,1996,114,7013,467,40077,7,52,,GWh
,2005,2469,114,7399,503,39803,7,49,,GWh
,2006,2935,118,7377,530,42742,7,63,,GWh
,2007,3478,151,6569,532,44445,7,50,,GWh
,2008,3028,151,5765,537,46403,7,54,,GWh
,2009,4236,322,10942,541,41050,7,58,,GWh
,2010,4095,1699,11970,2417,40401,8,39,,GWh
,2011,2300,1319,7642,1999,48878,8,41,,GWh
,2012,3411,1536,8994,1953,47582,8,55,,GWh
,2013,6082,1186,15359,1048,50260,8,58,,GWh
,2014,5490,2044,14242,1347,47870,9,70,,GWh
,2015,7090,3535,17955,1371,48568,9,68,,GWh
,2016,6210,4076,15896,1462,49096,9,51,,GWh
,2017,3182,2213,11004,1427,61434,14,3,,GWh
,2018,4545,2341,11621,1457,59932,20,43,,GWh
,2019,8162,2724,13164,1569,54593,136,63,,GWh
,2020,9397,2627,15189,2148,49977,200,10,,GWh
,2021,4527,2808,13757,2243,62318,332,62,821,GWh
,2022,5159,2808,13894,2340,62248,517,74,12,GWh
,2023,9600,2808,15800,2340,57244,963,111,12,GWh